2025-08-05T17:36:14.308574 - 
Updating Jekyll layouts...
2025-08-05T17:36:14.309105 - ✅ Updated layout: practice-area.html
2025-08-05T17:36:14.309474 - ✅ Updated layout: default.html
2025-08-05T17:36:14.309753 - ✅ Updated layout: default-optimized.html
2025-08-05T17:36:14.310425 - ✅ Updated layout: modern-default.html
2025-08-05T17:36:14.310454 - 
Migrating 1322 pages without layout...
2025-08-05T17:36:14.399878 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/newport-ri-life-care-planning.html
2025-08-05T17:36:14.400220 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/norwalk-ct-life-care-planning.html
2025-08-05T17:36:14.400563 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/peabody-ma-life-care-planning.html
2025-08-05T17:36:14.401384 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/brockton-ma-life-care-planning.html
2025-08-05T17:36:14.401856 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/stratford-ct-life-care-planning.html
2025-08-05T17:36:14.402189 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/keene-nh-life-care-planning.html
2025-08-05T17:36:14.402536 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/lowell-ma-life-care-planning.html
2025-08-05T17:36:14.402865 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/randolph-ma-life-care-planning.html
2025-08-05T17:36:14.403198 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/east-providence-ri-life-care-planning.html
2025-08-05T17:36:14.403533 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/lynn-ma-life-care-planning.html
2025-08-05T17:36:14.403860 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/middletown-ct-life-care-planning.html
2025-08-05T17:36:14.404382 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/south-portland-me-life-care-planning.html
2025-08-05T17:36:14.404822 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/chelsea-ma-life-care-planning.html
2025-08-05T17:36:14.405192 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/meriden-ct-life-care-planning.html
2025-08-05T17:36:14.405627 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/fitchburg-ma-life-care-planning.html
2025-08-05T17:36:14.405944 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/springfield-ma-life-care-planning.html
2025-08-05T17:36:14.406232 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/new-britain-ct-life-care-planning.html
2025-08-05T17:36:14.406535 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/waltham-ma-life-care-planning.html
2025-08-05T17:36:14.406860 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/fall-river-ma-life-care-planning.html
2025-08-05T17:36:14.407154 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/milford-ct-life-care-planning.html
2025-08-05T17:36:14.407463 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/torrington-ct-life-care-planning.html
2025-08-05T17:36:14.407765 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/westbrook-me-life-care-planning.html
2025-08-05T17:36:14.408157 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/biddeford-me-life-care-planning.html
2025-08-05T17:36:14.408444 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/salem-ma-life-care-planning.html
